positions,artists,titles
1,ABBA,MAMMA MIA
2,SLIK,FOREVER AND EVER
3,THE MIRACLES,LOVE MACHINE
4,DONNA SUMMER,LOVE TO LOVE YOU BABY
5,R AND J STONE,WE DO IT
6,QUEEN,BOHEMIAN RHAPSODY
7,SAILOR,GLASS OF CHAMPAGNE
8,THE FOUR SEASONS,DECEMBER '63
9,BILLY HOWARD,KING OF THE COPS
10,MIKE OLDFIELD,IN DULCI JUBILO/ON HORSEBACK
11,ELECTRIC LIGHT ORCHESTRA,EVIL WOMAN
12,PAUL DAVIDSON,MIDNIGHT RIDER
13,WALKER BROTHERS,NO REGRETS
14,THE SMALL FACES,ITCHYCOO PARK {1975}
15,GLENN MILLER,MOONLIGHT SERENADE/LITTLE BROWN JUG/IN THE MOOD
16,BARRY WHITE,LET THE MUSIC PLAY
17,BARBARA DICKSON,ANSWER ME
18,DAVID RUFFIN,WALK AWAY FROM LOVE
19,SHEER ELEGANCE,MILKY WAY
20,WAR,LOW RIDER
21,MANUEL AND THE MUSIC OF THE MOUNTAINS,RODRIGO'S GUITAR CONCERTO DE ARANJUEZ
22,OSIBISA,SUNSHINE DAY
23,WING AND A PRAYER FIFE AND DRUM CORPS,BABY FACE
24,ANDY FAIRWEATHER-LOW,WIDE EYED AND LEGLESS
25,DONNY & MARIE OSMOND,DEEP PURPLE
26,THE WHO,SQUEEZE BOX
27,PAUL SIMON,50 WAYS TO LEAVE YOUR LOVER
28,THE CAPTAIN AND TENNILLE,THE WAY I WANT TO TOUCH YOU
29,YVONNE FAIR,IT SHOULD HAVE BEEN ME
30,SMOKIE,SOMETHING'S BEEN MAKING ME BLUE
31,THE O'JAYS,I LOVE MUSIC
32,EVELYN THOMAS,WEAK SPOT
33,GEORGE MCCRAE,HONEY I
34,THE FATBACK BAND,DO THE BUS STOP
35,THE SWEET,LIES IN YOUR EYES
36,ROXY MUSIC,BOTH ENDS BURNING
37,L.J. JOHNSON,YOUR MAGIC PUT A SPELL ON ME
38,"FAITH, HOPE AND CHARITY",JUST ONE LOOK
39,THE MANHATTAN TRANSFER,TUXEDO JUNCTION
40,ETHNA CAMPBELL,THE OLD RUGGED CROSS
41,TONY CHRISTIE,DRIVE SAFELY DARLIN'
42,GLORIA GAYNOR,HOW HIGH THE MOON
43,BOB DYLAN,HURRICANE
44,DOOLEY SILVERSPOON,LET ME BE THE NUMBER 1 (LOVE OF YOUR LIFE)
45,SLADE,LET'S CALL IT QUITS
46,PLUTO SHERVINGTON,DAT
47,JUGGY JONES,INSIDE AMERICA
48,TINA CHARLES,I LOVE TO LOVE
49,CLIFF RICHARD,MISS YOU NIGHTS
50,SOUND 9418,IN THE MOOD
