positions,artists,titles
1,BLU CANTRELL FT SEAN PAUL,BREATHE
2,LUMIDEE,NEVER LEAVE YOU (UH OOOH UH OOOH)
3,ROBBIE WILLIAMS,SOMETHING BEAUTIFUL
4,DANIEL BEDINGFIELD,NEVER GONNA LEAVE YOUR SIDE
5,BEYONCE,CRAZY IN LOVE
6,BENNY BENASSI PTS THE BIZ,SATISFACTION
7,KOSHEEN,ALL IN MY HEAD
8,CRAIG DAVID,SPANISH
9,EVANESCENCE,BRING ME TO LIFE
10,XTM & DJ CHUCKY PTS ANNIA,FLY ON THE WINGS OF LOVE
11,STEREOPHONICS,MAYBE TOMORROW
12,DEEPEST BLUE,DEEPEST BLUE
13,LISA MAFFIA,IN LOVE
14,FAST FOOD ROCKERS,FAST FOOD SONG
15,PINK FT WILLIAM ORBIT,FEEL GOOD TIME
16,R KELLY,IGNITION REMIX
17,WAYNE WONDER,NO LETTING GO
18,EMINEM,BUSINESS
19,FUNERAL FOR A FRIEND,JUNEAU
20,JAVINE,REAL THINGS
21,ALL-AMERICAN REJECTS,SWING SWING
22,JUNIOR SENIOR,RHYTHM BANDITS
23,TRIPLE EIGHT,GIVE ME A REASON
24,50 CENT,21 QUESTIONS
25,DELTA GOODREM,LOST WITHOUT YOU
26,D-SIDE,INVISIBLE
27,MIS-TEEQ,CAN'T GET IT BACK
28,JOE BUDDEN,PUMP IT UP
29,MARIA WILLSON,CHOOZA LOOZA
30,BUSTA RHYMES AND MARIAH CAREY,I KNOW WHAT YOU WANT
31,CORAL,PASS IT ON
32,S CLUB 8,FOOL NO MORE
33,MADONNA,HOLLYWOOD
34,DANDY WARHOLS,YOU WERE THE LAST HIGH
35,50 CENT,IN DA CLUB
36,CHRISTINA AGUILERA,FIGHTER
37,BLAZIN' SQUAD,WE JUST BE DREAMIN'
38,HOT HOT HEAT,NO NOT NOW
39,JENNIFER ELLISON,BABY I DON'T CARE
40,AMY STUDT,MISFIT
41,LUCY CARR,THIS IS GOODBYE
42,GIRLS ALOUD,NO GOOD ADVICE
43,ASHANTI,ROCK WIT U (AWWW BABY)
44,KYM MARSH,COME ON OVER
45,JUSTIN TIMBERLAKE,ROCK YOUR BODY
46,GOLDFRAPP,STRICT MACHINE
47,JENNIFER LOPEZ,I'M GLAD
48,YOMANDA,YOU'RE FREE
49,HISS,CLEVER KICKS
50,DJ SAMMY,SUNLIGHT
51,TWISTED INDIVIDUAL,BANDWAGON BLUES
52,TYRESE,HOW YOU GONNA ACT LIKE THAT
53,SIMPLY RED,FAKE
54,SHANIA TWAIN,FOREVER AND FOR ALWAYS
55,KACI,I'M NOT ANYBODY'S GIRL
56,JANE'S ADDICTION,JUST BECAUSE
57,ELECTRIC SIX,GAY BAR
58,FUTUREHEADS,FIRST DAY
59,DJ NATION,SUMMER EDITION
60,S CLUB,SAY GOODBYE/LOVE AIN'T GONNA WAIT FOR
61,TOMMI,LIKE WHAT
62,SUPER FURRY ANIMALS,GOLDEN RETRIEVER
63,CRACKOUT,OUT OF OUR MINDS
64,AVRIL LAVIGNE,LOSING GRIP
65,HIGH CONTRAST,BASEMENT TRACK
66,PAUL VAN DYKE/HEMSTOCK/JENNING,NOTHING BUT YOU
67,METALLICA,ST ANGER
68,DARIUS,GIRL IN THE MOON
69,INDIEN,SHOW ME LOVE
70,KRAFTWERK,TOUR DE FRANCE 2003
71,SNOOP DOGG FT PHARRELL,BEAUTIFUL
72,PERCY FILTH,SHOW ME YOUR MONKEY
73,B2K,GIRLFRIEND
74,MURDERDOLLS,WHITE WEDDING
75,LINKIN PARK,FAINT
76,BIG BROVAZ,FAVOURITE THINGS
77,DANNII MINOGUE,DON'T WANNA LOSE THIS FEELING
78,DMX,X GON' GIVE IT TO YA
79,DIE,SOUNDTAPE/100 MILES AND RUNNING
80,TOMCRAFT,LONELINESS
81,VEILS,GUIDING LIGHT
82,DELAYS,HEY GIRL
83,RED HOT CHILI PEPPERS,UNIVERSALLY SPEAKING
84,DROPKICK MURPHYS,WALK AWAY
85,CHEEKY GIRLS,TAKE YOUR SHOES OFF
86,DISCOVERY,MISSING
87,DAVID SNEDDON,DON'T LET GO
88,BUSTED,YOU SAID NO
89,TATU,NOT GONNA GET US
90,STEREOPHONICS,MADAME HELGA
91,ABS,STOP SIGN
92,BOB SINCLAR,KISS MY EYES
93,GARETH GATES FT THE KUMARS,SPIRIT IN THE SKY
94,ROBBIE WILLIAMS,COME UNDONE
95,MAURO PICOTTO,ALCHEMIST EP
96,SINEAD QUINN,WHAT YOU NEED IS
97,MELANIE C,ON THE HORIZON
98,J MAJIK FT KATHY BROWN,SHARE THE BLAME
99,SUBLIME,KEEP THE CHANGE
100,SPACE BROTHERS,ONE MORE CHANCE
