positions,artists,titles
1,BAND AID 20,DO THEY KNOW IT'S CHRISTMAS
2,ICE CUBE FT MACK 10 & MS TOI,YOU CAN DO IT
3,DESTINY'S CHILD,LOSE MY BREATH
4,GIRLS ALOUD,I'LL STAND BY YOU
5,GREEN DAY,BOULEVARD OF BROKEN DREAMS
6,NATASHA BEDINGFIELD,UNWRITTEN
7,LEMAR,IF THERE'S ANY JUSTICE
8,BABYSHAMBLES,KILLAMANGIRO
9,NELLY & CHRISTINA AGUILERA,TILT YA HEAD BACK
10,SNOOP DOGG FT PHARRELL,DROP IT LIKE IT'S HOT
11,GWEN STEFANI,WHAT YOU WAITING FOR
12,EMINEM,JUST LOSE IT
13,BRIAN MCFADDEN,IRISH SON
14,JOJO FT BOW WOW,BABY IT'S YOU
15,GERI,RIDE IT
16,UNITING NATIONS,OUT OF TOUCH
17,CHRISTINA AGUILERA FT MISSY,CAR WASH
18,JAY-Z & LINKIN PARK,NUMB/ENCORE
19,USHER,CONFESSIONS PART II/MY BOO
20,RAZORLIGHT,RIP IT UP
21,ERIC PRYDZ,CALL ON ME
22,U2,VERTIGO
23,JAMELIA,DJ/STOP
24,SHANIA TWAIN FT MARK MCGRATH,PARTY FOR TWO
25,MICHAEL GRAY,THE WEEKEND
26,MCFLY,ROOM ON THE 3RD FLOOR
27,NADIA,A LITTLE BIT OF ACTION
28,BLUE,CURTAIN FALLS
29,JOSS STONE,RIGHT TO BE WRONG
30,STREETS,COULD WELL BE IN
31,KHIA,MY NECK MY BACK (LICK IT)
32,ALTER EGO,ROCKER
33,KEANE,THIS IS THE LAST TIME
34,KELIS FT ANDRE 3000,MILLIONAIRE
35,BRITNEY SPEARS,MY PREROGATIVE
36,EMBRACE,ASHES
37,DIZZEE RASCAL,DREAM
38,DEEP DISH,FLASHDANCE
39,BRYAN ADAMS,FLYING
40,EYE OPENER,HUNGRY EYES
41,REM,AFTERMATH
42,FABOLOUS,BREATHE
43,2PLAY FT THOMAS JULES/JUCXI D,CARELESS WHISPER
44,WOLFMAN,NAPOLEON
45,I DREAM FT FRANKIE & CALVIN,DREAMING
46,AVRIL LAVIGNE,NOBODY'S HOME
47,JAMIE CULLUM,EVERLASTING LOVE
48,JA RULE FT R KELLY & ASHANTI,WONDERFUL
49,INTENSO PROJECT/LISA SCOTT-LEE,GET IT ON
50,STATUS QUO,THINKING OF YOU
51,FATBOY SLIM,WONDERFUL NIGHT
52,LEMON JELLY,STAY WITH YOU
53,DELAYS,LOST IN A MELODY/WANDERLUST
54,WHITE STRIPES,JOLENE - LIVE UNDER BLACKPOOL LIGHTS
55,411,TEARDROPS
56,DELTA GOODREM,OUT OF THE BLUE
57,ANASTACIA,WELCOME TO MY TRUTH
58,RED CARPET,ALRIGHT
59,R KELLY,HAPPY PEOPLE/U SAVED ME
60,NAS,BRIDGING THE GAP
61,JAY SEAN,STOLEN
62,BLACK KEYS,TILL I GET MY WAY/GIRL IS ON MY MIND
63,V,YOU STOOD UP
64,DELERIUM FT SARAH MCLACHLAN,SILENCE 2004
65,PAUL WELLER,THINKING OF YOU
66,ONYX FT GEMMA J,EVERY LITTLE TIME
67,STERIOGRAM,WALKIE TALKIE MAN
68,DANIEL BEDINGFIELD,NOTHING HURTS LIKE LOVE
69,THUNDER,I LOVE YOU MORE THAN ROCK N ROLL
70,HOUSE OF PAIN,JUMP AROUND
71,LOSTPROPHETS,GOODBYE TONIGHT
72,DARIUS,KINDA LOVE
73,ELTON JOHN,ALL THAT I'M ALLOWED (I'M THANKFUL)
74,ASHLEE SIMPSON,PIECES OF ME
75,N-TRANCE,I'M IN HEAVEN
76,DANNII MINOGUE VS FLOWER POWER,YOU WON'T FORGET ABOUT ME
77,ROOSTER,COME GET SOME
78,STONEBRIDGE FT THERESE,PUT EM HIGH
79,KRISTIAN LEONTIOU,SOME SAY
80,PRODIGY,CHARLY
81,LIBERTINES,WHAT BECAME OF THE LIKELY LADS
82,NAUGHTY BY NATURE,O.P.P.
83,AKON FT STYLES P,LOCKED UP
84,MARQUES HOUSTON,BECAUSE OF YOU
85,NAUGHTY BY NATURE,HIP HOP HOORAY
86,SOURCE FT CANDI STATON,YOU GOT THE LOVE
87,SHAPESHIFTERS,LOLA'S THEME
88,TERROR SQUAD FT FAT JOE & REMY,LEAN BACK
89,STREETS,BLINDED BY THE LIGHTS
90,BEAT UP,MESSED UP
91,ROCKFORD,CHRISTMAS MORNING
92,MANIC STREET PREACHERS,THE LOVE OF RICHARD NIXON
93,DAVID WHITFIELD,SANTO NATALE
94,JAY-Z,99 PROBLEMS/DIRT OFF YOUR SHOULDER
95,N-TRANCE,SET YOU FREE
96,DR DRE FT SNOOP DOGG,THE NEXT EPISODE
97,SCISSOR SISTERS,COMFORTABLY NUMB
98,ERIC PRYDZ & STEVE ANGELLO,WOZ NOT WOZ
99,TINA TURNER,OPEN ARMS
100,SILICONE SOUL,LES NOCTURNES
