positions,artists,titles
1,THE SCAFFOLD,LILY THE PINK
2,FOUNDATIONS,BUILD ME UP BUTTERCUP
3,MARMALADE,OB-LA-DI OB-LA-DA
4,FLEETWOOD MAC,ALBATROSS
5,BONZO DOG DOO-DAH BAND,I'M THE URBAN SPACEMAN
6,LOVE SCULPTURE,SABRE DANCE
7,NINA SIMONE,AIN'T GOT NO-I GOT LIFE/DO WHAT YOU GOTTA DO
8,HERMAN'S HERMITS,SOMETHING'S HAPPENING
9,DUSTY SPRINGFIELD,SON-OF-A PREACHER MAN
10,STEVIE WONDER,FOR ONCE IN MY LIFE
11,LULU,I'M A TIGER
12,JUDY CLAY AND WILLIAM BELL,PRIVATE NUMBER
13,DES O'CONNOR,1-2-3 O'LEARY
14,GUN,RACE WITH THE DEVIL
15,DIANA ROSS AND THE SUPREMES,LOVE CHILD
16,HUGO MONTENEGRO,THE GOOD THE BAD AND THE UGLY
17,TOM JONES,A MINUTE OF YOUR TIME
18,MALCOLM ROBERTS,MAY I HAVE THE NEXT DREAM WITH YOU
19,BANDWAGON,BREAKING DOWN THE WALLS OF HEARTACHE
20,THE ISLEY BROTHERS,THIS OLD HEART OF MINE {1968}
21,JEANNIE C RILEY,HARPER VALLEY P.T.A.
22,EDWIN STARR,STOP HER ON SIGHT (SOS)/HEADLINE NEWS
23,MANFRED MANN,FOX ON THE RUN
24,BEDROCKS,OB-LA-DI OB-LA-DA
25,DONALD PEERS,PLEASE DON'T GO
26,CLIFF RICHARD AND THE SHADOWS,DON'T FORGET TO CATCH ME
27,VAL DOONICAN,IF I KNEW THEN WHAT I KNOW NOW
28,THE TURTLES,ELENORE
29,THE MOVE,BLACKBERRY WAY
30,CANNED HEAT,GOING UP THE COUNTRY
31,SIMON AND GARFUNKEL,MRS. ROBINSON (EP)
32,KASENETZ-KATZ SINGING ORCHESTRAL CIRCUS,QUICK JOEY SMALL (RUN JOEY RUN)
33,THE BEACH BOYS,BLUEBIRDS OVER THE MOUNTAIN
34,CASUALS,TOY
35,MARY HOPKIN,THOSE WERE THE DAYS
36,DANNY LA RUE,ON MOTHER KELLY'S DOORSTEP
37,DONOVAN,ATLANTIS
38,BOOKER T & THE MG'S,SOUL LIMBO
39,JOHNNY NASH,YOU GOT SOUL
40,JETHRO TULL,LOVE STORY
41,THE TREMELOES,I SHALL BE RELEASED
42,DES O'CONNOR,I PRETEND
43,THE FOUR TOPS,I'M IN A DIFFERENT WORLD
44,BARRY RYAN,ELOISE
45,MARVIN GAYE AND TAMMI TERRELL,YOU'RE ALL I NEED TO GET BY
46,WILSON PICKETT,HEY JUDE
47,GENE PITNEY,YOURS UNTIL TOMORROW
48,TOM JONES,HELP YOURSELF
49,LEAPY LEE,LITTLE ARROWS
50,HUGO MONTENEGRO,HANG 'EM HIGH
