positions,artists,titles
1,JOHNSTON BROTHERS,HERNANDO'S HIDEAWAY
2,BILL HALEY AND HIS COMETS,ROCK AROUND THE CLOCK
3,JIMMY YOUNG,THE MAN FROM LARAMIE
4,CYRIL STAPLETON ORCHESTRA WITH JULIE DAWN,BLUE STAR (THE MEDIC THEME)
5,JOHNNIE RAY,HEY THERE
6,RUBY MURRAY,I'LL COME WHEN YOU CALL
7,ROSEMARY CLOONEY,HEY THERE
8,DAVID WHITFIELD,EV'RYWHERE
9,MITCH MILLER,THE YELLOW ROSE OF TEXAS
10,WINIFRED ATWELL,LET'S HAVE A DING DONG
11,JOHNNIE RAY,SONG OF THE DREAMER
12,FRANKIE LAINE WITH THE MELLOMEN,COOL WATER
13,GARY MILLER,THE YELLOW ROSE OF TEXAS
14,SLIM WHITMAN,ROSE MARIE
15,RONNIE HILTON,THE YELLOW ROSE OF TEXAS
16,FRANKIE LAINE,HUMMING BIRD
17,STARGAZERS,TWENTY TINY FINGERS
18,SAMMY DAVIS JR,LOVE ME OR LEAVE ME
18,DON LANG,CLOUDBURST
20,CATERINA VALENTE,THE BREEZE AND I
