positions,artists,titles
1,ESTHER AND ABI OFARIM,CINDERELLA ROCKEFELLA
2,"DAVE DEE, DOZY, BEAKY, MICK AND TICH",LEGEND OF XANADU
3,THE MOVE,FIRE BRIGADE
4,DON PARTRIDGE,ROSIE
5,DONOVAN,JENNIFER JUNIPER
6,TOM JONES,DELILAH
7,LEMON PIPERS,GREEN TAMBOURINE
8,MANFRED MANN,THE MIGHTY QUINN
9,OTIS REDDING,(SITTIN' ON) THE DOCK OF THE BAY
10,LULU,ME THE PEACEFUL HEART
11,THE BEACH BOYS,DARLIN'
12,SOLOMON KING,SHE WEARS MY RING
13,STATUS QUO,PICTURES OF MATCHSTICK MEN
14,AMEN CORNER,BEND ME SHAPE ME
15,THE BEE GEES,WORDS
16,THE TREMELOES,SUDDENLY YOU LOVE ME
17,LOUIS ARMSTRONG,WHAT A WONDERFUL WORLD/CABARET
18,BRENTON WOOD,GIMME LITTLE SIGN
19,ENGELBERT HUMPERDINCK,AM I THAT EASY TO FORGET
20,LOVE AFFAIR,EVERLASTING LOVE
21,PAUL MAURIAT,LOVE IS BLUE (L'AMOUR EST BLEU)
22,FOUNDATIONS,BACK ON MY FEET AGAIN
23,GRAPEFRUIT,DEAR DELILAH
24,ELVIS PRESLEY,GUITAR MAN
25,JEFF BECK,LOVE IS BLUE
26,JOHN FRED AND THE PLAYBOY BAND,JUDY IN DISGUISE (WITH GLASSES)
27,ALAN PRICE SET,DON'T STOP THE CARNIVAL
28,THE DAVE CLARK FIVE,NO ONE CAN BREAK A HEART LIKE YOU
29,FRANKIE VAUGHAN,NEVERTHELESS
30,THE FOUR TOPS,IF I WERE A CARPENTER
31,DIONNE WARWICK,VALLEY OF THE DOLLS
32,P J PROBY,IT'S YOUR DAY TODAY
33,SANDIE SHAW,TODAY
34,HERMAN'S HERMITS,I CAN TAKE OR LEAVE YOUR LOVING
35,CILLA BLACK,STEP INSIDE LOVE
36,ANITA HARRIS,ANNIVERSARY WALTZ
37,TROGGS,LITTLE GIRL
38,SHOWSTOPPERS,AIN'T NOTHIN' BUT A HOUSEPARTY
39,OTIS REDDING,MY GIRL {1968}
40,JOHN ROWLES,IF I ONLY HAD TIME
41,AMERICAN BREED,BEND ME SHAPE ME
42,TRAFFIC,"NO FACE, NO NAME, NO NUMBER"
43,SAM AND DAVE,I THANK YOU
44,PAPER DOLLS,SOMETHING HERE IN MY HEART (KEEPS A-TELLIN' ME NO)
45,ANDY WILLIAMS,CAN'T TAKE MY EYES OFF YOU
46,EQUALS,I GET SO EXCITED
47,ARETHA FRANKLIN,SINCE YOU'VE BEEN GONE (SWEET SWEET BABY)
48,SYMBOLS,(THE BEST PART OF) BREAKING UP
49,VAL DOONICAN,YOU'RE THE ONLY ONE
50,MARTHA REEVES AND THE VANDELLAS,HONEY CHILE
