positions,artists,titles
1,OMI,CHEERLEADER (FELIX JAEHN REMIX)
2,LUNCHMONEY LEWIS,BILLS
3,WIZ KHALIFA FT CHARLIE PUTH,SEE YOU AGAIN
4,GALANTIS,RUNAWAY (U & I)
5,MAJOR LAZER FT MO & DJ SNAKE,LEAN ON
6,CARLY RAE JEPSEN,I REALLY LIKE YOU
7,SKRILLEX & DIPLO/JUSTIN BIEBER,WHERE ARE U NOW
8,JESS GLYNNE,HOLD MY HAND
9,BLONDE FT ALEX NEWELL,ALL CRIED OUT
10,KYGO FT CONRAD SEWELL,FIRESTONE
11,IGGY AZALEA FT JENNIFER HUDSON,TROUBLE
12,MARK RONSON FT BRUNO MARS,UPTOWN FUNK
13,MAROON 5,SUGAR
14,NICK JONAS,JEALOUS
15,JAMES BAY,HOLD BACK THE RIVER
16,YEARS & YEARS,KING
17,DAVID GUETTA/N MINAJ/AFROJACK,HEY MAMA
18,ED SHEERAN,BLOODSTREAM
19,HOZIER,TAKE ME TO CHURCH
20,MEGHAN TRAINOR,DEAR FUTURE HUSBAND
21,TOVE LO,TALKING BODY
22,ALESSO FT ROY ENGLISH,COOL
23,DR KUCHO/GREGOR SALTO/ANE BRUN,CAN'T STOP PLAYING (MAKES ME HIGH)
24,HOZIER,SOMEONE NEW
25,ELLIE GOULDING,LOVE ME LIKE YOU DO
26,RIHANNA/KANYE WEST/MCCARTNEY,FOURFIVE SECONDS
27,CLEAN BANDIT,STRONGER
28,CHRIS BROWN & TYGA,AYO
29,FETTY WAP,TRAP QUEEN
30,ED SHEERAN,THINKING OUT LOUD
31,FLO RIDA FT SAGE THE GEMINI,GDFR
32,SIA,ELASTIC HEART
33,ARIANA GRANDE,ONE LAST TIME
34,MUMFORD & SONS,BELIEVE
35,SIA,CHANDELIER
36,MARLON ROUDETTE,WHEN THE BEAT DROPS OUT
37,AVICII,THE NIGHTS
38,USHER FT JUICY J,I DON'T MIND
39,WEEKND,EARNED IT
40,ARONCHUPA,I'M AN ALBATRAOZ
41,T-WAYNE,NASTY FREESTYLE
42,DAVID GUETTA FT EMELI SANDE,WHAT I DID FOR LOVE
43,PITBULL FT NE-YO,TIME OF OUR LIVES
44,SAM SMITH,LAY ME DOWN
45,KYGO FT PARSON JAMES,STOLE THE SHOW
46,KELLY CLARKSON,HEARTBEAT SONG
47,PHILIP GEORGE,WISH YOU WERE MINE
48,LETHAL BIZZLE FT DIZTORTION,FESTER SKANK
49,DJ FRESH FT ELLA EYRE,GRAVITY
50,GEORGE EZRA,BUDAPEST
51,RIHANNA,BITCH BETTER HAVE MY MONEY
52,SAM SMITH,STAY WITH ME
53,OLLY MURS FT DEMI LOVATO,UP
54,SAM SMITH,LIKE I CAN
55,TOUGH LOVE,SO FREAKIN' TIGHT
56,CIARA,I BET
57,ALESSO FT TOVE LO,HEROES (WE COULD BE)
58,KODALINE,THE ONE
59,LILLY WOOD & ROBIN SCHULZ,PRAYER IN C
60,KAREN HARDING,SAY SOMETHING
61,SEINABO SEY,YOUNGER
62,JESSIE J,FLASHLIGHT
63,MICHAEL CALFAN,TREASURED SOUL
64,CALVIN HARRIS/ELLIE GOULDING,OUTSIDE
65,TAYLOR SWIFT,STYLE
66,CLEAN BANDIT FT JESS GLYNNE,RATHER BE
67,NE-YO FT JUICY J,SHE KNOWS
68,MEGHAN TRAINOR,LIPS ARE MOVIN
69,FLORENCE & THE MACHINE,SHIP TO WRECK
70,NOEL GALLAGHER'S HIGH FLYING,RIVERMAN
71,JOHN LEGEND,ALL OF ME
72,MUMFORD & SONS,SNAKE EYES
73,STEREOPHONICS,C'EST LA VIE
74,MEGHAN TRAINOR,ALL ABOUT THAT BASS
75,SNOOP DOGG FT CHARLIE WILSON,PEACHES N CREAM
76,NATALIE LA ROSE FT JEREMIH,SOMEBODY
77,SIA,BIG GIRLS CRY
78,SAM SMITH,I'M NOT THE ONLY ONE
79,VANCE JOY,RIPTIDE
80,KENDRICK LAMAR,KING KUNTA
81,OMARION/CHRIS BROWN/JHENE AIKO,POST TO BE
82,JESSIE J/GRANDE/MINAJ,BANG BANG
83,RAE MORRIS,LOVE AGAIN
84,MUMFORD & SONS,THE WOLF
85,DISCLOSURE,BANG THAT
86,MR PROBZ,WAVES
87,BLONDE FT MELISSA STEEL,I LOVED YOU
88,TAYLOR SWIFT,SHAKE IT OFF
89,ASAP ROCKY/ROD STEWART/MIGUEL,EVERYDAY
90,JAMES BAY,LET IT GO
91,ED SHEERAN,PHOTOGRAPH
92,PHARRELL WILLIAMS,HAPPY
93,SIGMA FT LABRINTH,HIGHER
94,CLEAN BANDIT FT JESS GLYNNE,REAL LOVE
95,SIA,CALIFORNIA DREAMIN'
96,ELLA HENDERSON,GHOST
97,RIHANNA,AMERICAN OXYGEN
98,M O,PREACH
99,DEORRO & CHRIS BROWN,FIVE MORE HOURS
100,ALEX ADAIR,MAKE ME FEEL BETTER
