positions,artists,titles
1,EXAMPLE,CHANGED THE WAY YOU KISS ME
2,CALVIN HARRIS FT KELIS,BOUNCE
3,ED SHEERAN,THE A TEAM
4,PITBULL/NE-YO/AFROJACK/NAYER,GIVE ME EVERYTHING
5,TINCHY STRYDER & DAPPY,SPACESHIP
6,NICOLE SCHERZINGER,RIGHT THERE
7,ALEXANDRA STAN,MR SAXOBEAT
8,ALOE BLACC,I NEED A DOLLAR
9,LMFAO/LAUREN BENNETT/GOONROCK,PARTY ROCK ANTHEM
10,JENNIFER LOPEZ FT LIL WAYNE,I'M INTO YOU
11,BRUNO MARS,THE LAZY SONG
12,CHRIS BROWN FT BENNY BENASSI,BEAUTIFUL PEOPLE
13,DEV FT THE CATARACS,BASS DOWN LOW
14,JENNIFER LOPEZ FT PITBULL,ON THE FLOOR
15,RIHANNA,CALIFORNIA KING BED
16,LADY GAGA,THE EDGE OF GLORY
17,NICKI MINAJ,SUPER BASS
18,BLACK EYED PEAS,DON'T STOP THE PARTY
19,SNOOP DOGG,SWEAT
20,JESSIE J,NOBODY'S PERFECT
21,SWEDISH HOUSE MAFIA,SAVE THE WORLD
22,COLDPLAY,EVERY TEARDROP IS A WATERFALL
23,DAVID GUETTA/FLO RIDA/MINAJ,WHERE THEM GIRLS AT
24,KATY PERRY,LAST FRIDAY NIGHT (T.G.I.F.)
25,ADELE,SET FIRE TO THE RAIN
26,SATURDAYS,NOTORIOUS
27,ADELE,SOMEONE LIKE YOU
28,TAKE THAT,LOVE LOVE
29,LADY GAGA,JUDAS
30,TRACY CHAPMAN,FAST CAR
31,KATY B,EASY PLEASE ME
32,INNA,SUN IS UP
33,ALEX GAUDINO FT KELLY ROWLAND,WHAT A FEELING
34,WYNTER GORDON,DIRTY TALK
35,JESSIE J FT BOB,PRICE TAG
36,BEYONCE,RUN THE WORLD (GIRLS)
37,BAD MEETS EVIL FT BRUNO MARS,LIGHTERS
38,NICOLE SCHERZINGER,DON'T HOLD YOUR BREATH
39,LADY GAGA,BORN THIS WAY
40,CHRIS BROWN,YEAH 3X
41,ADELE,ROLLING IN THE DEEP
42,KATY PERRY FT KANYE WEST,ET
43,TEMPLECLOUD,ONE BIG FAMILY
44,NERO,GUILT
45,MANN/SNOOP DOGG/IYAZ,THE MACK
46,LMFAO/NATALIA KILLS,CHAMPAGNE SHOWERS
47,RIHANNA,S&M
48,GLEE CAST,LIGHT UP THE WORLD
49,LUDOVICO EINAUDI,I GIORNI
50,BIRDY,SHELTER
51,PARAMORE,MONSTER
52,TRUE TIGER FT PROFESSOR GREEN,IN THE AIR
53,ARCTIC MONKEYS,DON'T SIT DOWN 'CAUSE I'VE MOVED YOUR
54,NELLY FT KERI HILSON,LIV TONIGHT
55,MANN FT 50 CENT,BUZZIN
56,CHIPMUNK FT CHRIS BROWN,CHAMPION
57,CHASE & STATUS FT DELILAH,TIME
58,ADELE,MAKE YOU FEEL MY LOVE
59,WRETCH 32 FT EXAMPLE,UNORTHODOX
60,SHAKIRA FT FRESHLYGROUND,WAKA WAKA (THIS TIME FOR AFRICA)
61,BRUNO MARS,GRENADE
62,KINGS OF LEON,USE SOMEBODY
63,GLEE CAST,PRETENDING
64,NICOLA ROBERTS,BEAT OF MY DRUM
65,GLEE CAST,FOR GOOD
66,ALEXIS JORDAN,HUSH HUSH
67,BIRDY,SKINNY LOVE
68,BAD MEETS EVIL,FAST LANE
69,MARTIN SOLVEIG & DRAGONETTE,HELLO
70,TRAIN,HEY SOUL SISTER
71,RIHANNA,MAN DOWN
72,RIHANNA,ONLY GIRL (IN THE WORLD)
73,KATY PERRY,FIREWORK
74,WOMBATS,TECHNO FAN
75,FOO FIGHTERS,WALK
76,BRUNO MARS,JUST THE WAY YOU ARE (AMAZING)
77,BLACK EYED PEAS,JUST CAN'T GET ENOUGH
78,CEE LO GREEN,BRIGHT LIGHTS BIGGER CITY
79,WIZ KHALIFA,BLACK AND YELLOW
80,YASMIN,FINISH LINE
81,OLLY MURS,BUSY
82,KANYE WEST FT DRAKE & RIHANNA,ALL OF THE LIGHTS
83,GLEE CAST,I LOVE NEW YORK/NEW YORK NEW YORK
84,DAVID GUETTA FT RIHANNA,WHO'S THAT CHICK
85,CHASE & STATUS FT LIAM BAILEY,BLIND FAITH
86,AEROSMITH,I DON'T WANT TO MISS A THING
87,CEE LO GREEN,FORGET YOU
88,TAKE THAT,WHEN WE WERE YOUNG
89,PINK,RAISE YOUR GLASS
90,CARO EMERALD,A NIGHT LIKE THIS
91,RIHANNA FT DRAKE,WHAT'S MY NAME
92,EMINEM FT RIHANNA,LOVE THE WAY YOU LIE
93,LIL WAYNE,HOW TO LOVE
94,BLACK EYED PEAS,I GOTTA FEELING
95,JESSIE J,DO IT LIKE A DUDE
96,JERMAINE STEWART,WE DON'T HAVE TO TAKE OUR CLOTHES OFF
97,ENRIQUE IGLESIAS FT LUDACRIS,TONIGHT (I'M F**KIN' YOU)
98,EXAMPLE,KICKSTARTS
99,WONDERLAND,STARLIGHT
100,SELENA GOMEZ & THE SCENE,WHO SAYS
