positions,artists,titles
1,ANNE SHELTON,LAY DOWN YOUR ARMS
2,DORIS DAY,WHATEVER WILL BE WILL BE (QUE SERA SERA)
3,BILL HALEY AND HIS COMETS,ROCKIN' THROUGH THE RYE
4,GOONS,THE YING TONG SONG/BLOODNOK'S ROCK 'N' ROLL CALL
5,PLATTERS,THE GREAT PRETENDER/ONLY YOU
6,TEENAGERS FEATURING FRANKIE LYMON,WHY DO FOOLS FALL IN LOVE FT FRANKIE LYMON
6,TERESA BREWER,SWEET OLD-FASHIONED GIRL
6,TONY MARTIN,WALK HAND IN HAND
9,LONNIE DONEGAN,BRING A LITTLE WATER SYLVIE/DEAD OR ALIVE
10,MEL TORME,MOUNTAIN GREENERY
11,BILL HALEY AND HIS COMETS,THE SAINTS ROCK 'N' ROLL
12,FRANKIE LAINE,A WOMAN IN LOVE
13,ELVIS PRESLEY,HOUND DOG
14,SLIM WHITMAN,SERENADE
15,THE CHORDETTES,BORN TO BE WITH YOU
16,ELVIS PRESLEY,I WANT YOU I NEED YOU I LOVE YOU
17,BILL HALEY AND HIS COMETS,ROCK AROUND THE CLOCK
17,EDMUND HOCKRIDGE,BY THE FOUNTAINS OF ROME
19,PAT BOONE,I ALMOST LOST MY MIND
20,PAT BOONE,I'LL BE HOME
21,BILL HALEY AND HIS COMETS,SEE YOU LATER ALLIGATOR
22,FATS DOMINO,I'M IN LOVE AGAIN
23,TEX RITTER,THE WAYWARD WIND
24,ELVIS PRESLEY,HEARTBREAK HOTEL
25,RUBY MURRAY,YOU ARE MY FIRST LOVE
26,NAT 'KING' COLE,LOVE ME AS THOUGH THERE WERE NO TOMORROW
27,DAVID HUGHES,BY THE FOUNTAINS OF ROME
28,BILL HALEY AND HIS COMETS,RAZZLE DAZZLE
29,PERRY COMO,MORE
30,RONNIE HILTON,A WOMAN IN LOVE
