positions,artists,titles
1,PIPES AND DRUMS AND THE MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARD,AMAZING GRACE
2,RINGO STARR,BACK OFF BOOGALOO
3,NILSSON,WITHOUT YOU
4,CHIFFONS,SWEET TALKING GUY
5,VICKY LEANDROS,COME WHAT MAY
6,TOM JONES,YOUNG NEW MEXICAN PUPPETEER
7,TYRANNOSAURUS REX,DEBORA/ONE INCH ROCK
8,JO JO GUNNE,RUN RUN RUN
9,MARMALADE,RADANCER
10,ELVIS PRESLEY,UNTIL IT'S TIME FOR YOU TO GO
11,DAVID CASSIDY,COULD IT BE FOREVER/CHERISH
12,THE NEW SEEKERS,"BEG, STEAL OR BORROW"
13,JOHNNY NASH,STIR IT UP
14,JOHNNY CASH AND THE EVANGEL TEMPLE CHOIR,A THING CALLED LOVE
15,LABI SIFFRE,"CRYING, LAUGHING, LOVING, LYING"
16,ARGENT,HOLD YOUR HEAD UP
17,NEIL YOUNG,HEART OF GOLD
18,THE ROLLING STONES,TUMBLING DICE
19,LES CRANE,DESIDERATA
20,GREYHOUND,I AM WHAT I AM
21,GILBERT O'SULLIVAN,ALONE AGAIN (NATURALLY)
22,ELTON JOHN,ROCKET MAN
23,THE TEMPTATIONS,TAKE A LOOK AROUND
24,THE PARTRIDGE FAMILY,IT'S ONE OF THOSE NIGHTS
25,MIDDLE OF THE ROAD,SACRAMENTO
26,MUNGO JERRY,OPEN UP
27,DANIEL BOONE,BEAUTIFUL SUNDAY
28,THE DRIFTERS,AT THE CLUB/SATURDAY NIGHT AT THE MOVIES {1972}
29,SLY AND THE FAMILY STONE,RUNNIN' AWAY
30,LINDISFARNE,MEET ME ON THE CORNER
31,LEEDS UNITED F.C.,LEEDS UNITED
32,CHELSEA FOOTBALL TEAM,BLUE IS THE COLOUR
33,RAMSEY LEWIS,WADE IN THE WATER
34,PAUL SIMON,ME AND JULIO DOWN BY THE SCHOOLYARD
35,DEEP PURPLE,NEVER BEFORE
36,ENGELBERT HUMPERDINCK,TOO BEAUTIFUL TO LAST
37,DON MCLEAN,AMERICAN PIE
38,HURRICANE SMITH,"OH BABE, WHAT WOULD YOU SAY?"
39,DONNIE ELBERT,LITTLE PIECE OF LEATHER
40,PROCOL HARUM,A WHITER SHADE OF PALE {1972}
41,OLIVIA NEWTON-JOHN,WHAT IS LIFE
42,THE SUPREMES,FLOY JOY
43,BREAD,EVERYTHING I OWN
44,DAVE NEWMAN,THE LION SLEEPS TONIGHT (WIMOWEH)
45,NEIL REID,THAT'S WHAT I WANT TO BE
46,JUDY COLLINS,AMAZING GRACE
47,THE NEW SEEKERS,I'D LIKE TO TEACH THE WORLD TO SING (IN PERFECT HARMONY)
48,PAUL SIMON,MOTHER AND CHILD REUNION
49,NEIL REID,MOTHER OF MINE
50,DONNIE ELBERT,I CAN'T HELP MYSELF
