positions,artists,titles
1,TEENAGERS FEATURING FRANKIE LYMON,WHY DO FOOLS FALL IN LOVE FT FRANKIE LYMON
2,PAT BOONE,I'LL BE HOME
3,DORIS DAY,WHATEVER WILL BE WILL BE (QUE SERA SERA)
4,ELVIS PRESLEY,HEARTBREAK HOTEL
5,TONY MARTIN,WALK HAND IN HAND
6,VARIOUS ARTISTS,ALL STAR HIT PARADE (EP)
7,PERRY COMO,HOT DIGGITY (DOG ZIGGITY BOOM)
8,GOONS,I'M WALKING BACKWARDS FOR CHRISTMAS/BLUEBOTTLE BLUES
9,RONNIE HILTON,WHO ARE WE
10,TEX RITTER,THE WAYWARD WIND
11,JOHNNY DANKWORTH,EXPERIMENTS WITH MICE
12,GOGI GRANT,THE WAYWARD WIND
13,BILL HALEY AND HIS COMETS,THE SAINTS ROCK 'N' ROLL
14,LONNIE DONEGAN,LOST JOHN/STEWBALL
15,TERESA BREWER,SWEET OLD-FASHIONED GIRL
16,MORRIS STOLOFF,MOONGLOW AND THE THEME FROM 'PICNIC'
17,DAVID WHITFIELD,MY SEPTEMBER LOVE
18,WINIFRED ATWELL,LEFT BANK
19,RONNIE CARROLL,WALK HAND IN HAND
20,MEL TORME,MOUNTAIN GREENERY
20,HUMPHREY LYTTELTON BAND,BAD PENNY BLUES
22,FRANK SINATRA,SONGS FOR SWINGIN' LOVERS (LP)
23,NAT 'KING' COLE,TOO YOUNG TO GO STEADY
24,STAN FREBERG AND HIS SNIFFLE GROUP,ROCK ISLAND LINE/HEARTBREAK HOTEL
25,ALMA COGAN,THE BIRDS AND THE BEES
26,TED HEATH AND HIS MUSIC,THE FAITHFUL HUSSAR
27,PAT BOONE,LONG TALL SALLY
28,FATS DOMINO,I'M IN LOVE AGAIN
29,SLIM WHITMAN,SERENADE
30,JOE 'FINGERS' CARR,PORTUGUESE WASHERWOMAN
