positions,artists,titles
1,KEN BOOTHE,EVERYTHING I OWN
2,SLADE,FAR FAR AWAY
3,DAVID ESSEX,GONNA MAKE YOU A STAR
4,BAY CITY ROLLERS,ALL OF ME LOVES ALL OF YOU
5,QUEEN,KILLER QUEEN
6,SWEET SENSATION,SAD SWEET DREAMER
7,PAUL ANKA,(YOU'RE) HAVING MY BABY
8,THE DRIFTERS,DOWN ON THE BEACH TONIGHT
9,GEORGE MCCRAE,I CAN'T LEAVE YOU ALONE
10,GLITTER BAND,LET'S GET TOGETHER AGAIN
11,EDDIE HOLMAN,(HEY THERE) LONELY GIRL
12,GARY SHEARSTON,I GET A KICK OUT OF YOU
13,PETER SHELLEY,GEE BABY
14,THE STYLISTICS,LET'S PUT IT ALL TOGETHER
15,ROXY MUSIC,ALL I WANT IS YOU
16,SPARKS,NEVER TURN YOUR BACK ON MOTHER EARTH
17,WOMBLES,MINUETTO ALLEGRETTO
18,ROD STEWART,FAREWELL/BRING IT ON HOME TO ME/YOU SEND ME
19,TYMES,YOU LITTLE TRUSTMAKER
20,ANDY FAIRWEATHER-LOW,REGGAE TUNE
21,SLIM WHITMAN,HAPPY ANNIVERSARY
22,OLIVIA NEWTON-JOHN,I HONESTLY LOVE YOU
23,CRYSTALS,DA DOO RON RON {1974}
24,JOHN DENVER,ANNIE'S SONG
25,ANDY KIM,ROCK ME GENTLY
26,PEPPERS,PEPPER BOX
27,HUES CORPORATION,ROCK 'N' SOUL
28,SYLVIA,Y VIVA ESPANA
29,BARRY BLUE,HOT SHOT
30,STEVIE WONDER,YOU HAVEN'T DONE NOTHIN'
31,LEO SAYER,LONG TALL GLASSES
32,DIONNE WARWICK AND THE DETROIT SPINNERS,THEN CAME YOU
33,SANTANA,SAMBA PA TI
34,JIMMY RUFFIN,FAREWELL IS A LONELY SOUND {1974}
35,THE THREE DEGREES,GET YOUR LOVE BACK
36,JOHN LENNON WITH THE PLASTIC ONO NUCLEAR BAND,WHATEVER GETS YOU THRU THE NIGHT
37,CARL DOUGLAS,KUNG FU FIGHTING
38,BARRY WHITE,"YOU'RE THE FIRST, THE LAST, MY EVERYTHING"
39,THE CHI-LITES,TOO GOOD TO BE FORGOTTEN
40,PILOT,MAGIC
40,JOHNNY BRISTOL,HANG ON IN THERE BABY
42,DAVID BOWIE,KNOCK ON WOOD
43,THE COMMODORES,MACHINE GUN
44,BARRY WHITE,"CAN'T GET ENOUGH OF YOUR LOVE, BABE"
45,SPLINTER,COSTAFINE TOWN
46,ALVIN STARDUST,YOU YOU YOU
47,MOTT THE HOOPLE,SATURDAY GIG
48,LYNSEY DE PAUL,NO HONESTLY
49,GENE PITNEY,BLUE ANGEL
50,KC AND THE SUNSHINE BAND,QUEEN OF CLUBS
