artist,title,sanitized_title,title_signature,top_position,first_week
'DELIVERANCE' SOUNDTRACK,DUELLING BANJOS,DUELLING BANJOS,"(8, 6)",17,1973-03-25
'N SYNC,TEARIN' UP MY HEART,TEARIN UP MY HEART,"(6, 2, 2, 5)",40,1997-09-07
(MC SAR &) THE REAL MCCOY,ANOTHER NIGHT,ANOTHER NIGHT,"(7, 5)",2,1994-10-30
(MC SAR &) THE REAL MCCOY,LOVE & DEVOTION,LOVE  DEVOTION,"(4, 0, 8)",12,1995-04-16
(MC SAR &) THE REAL MCCOY,RUN AWAY,RUN AWAY,"(3, 4)",6,1995-01-22
(SYMBOL),EYE HATE U,EYE HATE U,"(3, 4, 1)",20,1995-09-17
(SYMBOL),THE BEAUTIFUL EXPERIENCE,THE BEAUTIFUL EXPERIENCE,"(3, 9, 10)",18,1994-05-29
(SYMBOL),THE MOST BEAUTIFUL GIRL IN THE WORLD,THE MOST BEAUTIFUL GIRL IN THE WORLD,"(3, 4, 9, 4, 2, 3, 5)",1,1994-04-03
1 GIANT LEAP,MY CULTURE,MY CULTURE,"(2, 7)",9,2002-04-14
10 C.C.,THE DEAN AND I,THE DEAN AND I,"(3, 4, 3, 1)",10,1973-08-19
10 C.C.,WALL STREET SHUFFLE,WALL STREET SHUFFLE,"(4, 6, 7)",10,1974-06-09
100 PERCENT FT JENNIFER JOHN,JUST CAN'T WAIT (SATURDAY),JUST CANT WAIT,"(4, 4, 4)",28,2004-12-19
100 TON AND A FEATHER,IT ONLY TAKES A MINUTE,IT ONLY TAKES A MINUTE,"(2, 4, 5, 1, 6)",9,1976-06-27
1000 CLOWNS,(NOT THE) GREATEST RAPPER,GREATEST RAPPER,"(8, 6)",23,1999-05-16
10CC,ART FOR ARTS SAKE,ART FOR ARTS SAKE,"(3, 3, 4, 4)",5,1975-11-30
10CC,DONNA,DONNA,"(5,)",2,1972-09-24
