positions,artists,titles
1,TONY CHRISTIE FT PETER KAY,(IS THIS THE WAY TO) AMARILLO
2,MARIO,LET ME LOVE YOU
3,MCFLY,ALL ABOUT YOU/YOU'VE GOT A FRIEND
4,50 CENT,CANDY SHOP
5,ELVIS PRESLEY,RETURN TO SENDER
6,WILL SMITH,SWITCH
7,GWEN STEFANI FT EVE,RICH GIRL
8,NATALIE IMBRUGLIA,SHIVER
9,SUNSET STRIPPERS,FALLING STARS
10,NELLY FT TIM MCGRAW,OVER AND OVER
11,JEM,THEY
12,BASEMENT JAXX,OH MY GOSH
13,FADERS,NO SLEEP TONIGHT
14,JENNIFER LOPEZ,GET RIGHT
15,ERASURE,DON'T SAY YOU LOVE ME
16,AKON,LOCKED UP
17,PHANTOM PLANET,CALIFORNIA
18,BRITISH SEA POWER,IT ENDED ON AN OILY STAGE
19,SHAPESHIFTERS,BACK TO BASICS
20,CABIN CREW,STAR TO FALL
21,KASABIAN,CLUB FOOT
22,STEREOPHONICS,DAKOTA
23,GREEN DAY,HOLIDAY
24,G4,BOHEMIAN RHAPSODY
25,SUBWAYS,OH YEAH
26,BEVERLEY KNIGHT,KEEP THIS FIRE BURNING
27,BRITNEY SPEARS,DO SOMETHIN'
28,XTM & DJ CHUCKY PTS ANNIA,GIVE ME YOUR LOVE
29,DAMIEN RICE,VOLCANO
30,LL COOL J FT 7 AURELIUS,HUSH
31,GAME FT 50 CENT,HOW WE DO
32,FINN BROTHERS,EDIBLE FLOWERS
33,QUEENS OF THE STONE AGE,LITTLE SISTER
34,GIRLS ALOUD,WAKE ME UP
35,USHER,CAUGHT UP
36,ELVIS PRESLEY,SHE'S NOT YOU
37,BRIGHT EYES,FIRST DAY OF MY LIFE
38,I AM KLOOT,OVER MY SHOULDER
39,ROOTS MANUVA,TOO COLD
40,JAY-Z & LINKIN PARK,NUMB/ENCORE
41,FABOLOUS FT MIKE SHOREY,BABY
42,TYLER JAMES,FOOLISH
43,NEW ORDER,KRAFTY
44,DIZZEE RASCAL,OFF 2 WORK
45,TOM VEK,I AIN'T SAYING MY GOODBYES
46,BECK,E-PRO
47,EMINEM,LIKE TOY SOLDIERS
48,THRILLS,THE IRISH KEEP GATE-CRASHING
49,BRAVERY,AN HONEST MISTAKE
50,BRANDY,WHO IS SHE 2 U
51,KAISER CHIEFS,OH MY GOD
52,JOHN LEGEND,USED TO LOVE U
53,VERBALICIOUS,DON'T PLAY NICE
54,MERCURY REV,ACROSS YER OCEAN
55,BRIAN MCFADDEN & DELTA GOODREM,ALMOST HERE
56,U2,SOMETIMES YOU CAN'T MAKE IT ON YOUR OWN
57,ELVIS PRESLEY,GOOD LUCK CHARM
58,GREEN DAY,BOULEVARD OF BROKEN DREAMS
59,JOSS STONE,SPOILED
60,MILLION DEAD,LIVING THE DREAM
61,UNITING NATIONS,OUT OF TOUCH
62,DESTINY'S CHILD/TI/LIL WAYNE,SOLDIER
63,HOWARD BROWN,YOU'RE THE FIRST THE LAST MY EVERYTHING
64,MARS VOLTA,THE WIDOW
65,SNOOP DOGG FT PHARRELL,LET'S GET BLOWN
66,SLK,HYPE HYPE
67,REFLEKT FT DELLINE BASS,NEED TO FEEL LOVED
68,STYLES & BREEZE/KAREN DANZIG,HEARTBEATZ
69,CHEMICAL BROTHERS,GALVANIZE
70,MOBY,LIFT ME UP
71,BLACK VELVETS,3345
72,MY CHEMICAL ROMANCE,I'M NOT OKAY (I PROMISE)
73,ELVIS PRESLEY,ROCK-A-HULA BABY
74,DANIEL BEDINGFIELD,WRAP MY WORDS AROUND YOU
75,TWEET FT MISSY ELLIOTT,TURN DA LIGHTS OFF
76,SYDENHAM & FERRER,SANDCASTLES
77,TERRI WALKER,WHOOPSIE DAISY
78,GLITTERATI,YOU GOT NOTHING ON ME
79,EXHIBIT A,G MINOR
80,CIARA FT PETEY PABLO,GOODIES
81,QUEEN ADREENA,FM DOLL
82,ADEMA,TORNADO
83,ASHANTI,ONLY U
84,TIEFSCHWARZ,ISSST
85,LOST WITNESS FT TIFF LACEY,HOME
86,SARA JORGE,SHOCK TO THE SYSTEM
87,HELP SHE CAN'T SWIM,I DON'T NEED YOU/LA AIN'T NO GREAT PLACE
88,FIVE O'CLOCK HEROES,RUN TO HER
89,T.I.,BRING EM OUT
90,ASHLEE SIMPSON,LA LA
91,ROOSTER,STARING AT THE SUN
92,BE YOUR OWN PET,DAMN DAMN LEASH
93,SUB FOCUS,X RAY/SCARECROW
94,PAUL WELLER,EARLY MORNING RAIN
95,SHAPESHIFTERS,LOLA'S THEME
96,CIARA FT MISSY ELLIOT,1 2 STEP
97,HOUSE OF PAIN,JUMP AROUND
98,SOLITAIRE,YOU GOT THE LOVE
99,ERIC PRYDZ,CALL ON ME
100,VAN HUNT,DOWN HERE IN HELL (WITH YOU)
